投诉编号,投诉品牌,投诉车系,投诉车型,问题简述,典型问题,投诉时间,投诉状态
515543,北京现代,名图,2017款 1.6T 自动 智能型 GLS,北京现代名图行驶中方向跑偏四轮定位未解决,"G117,",2020-08-29,信息审核
515538,众泰汽车,云100,2014款 云100 舒适型,众泰云100动力电池故障要求尽快解决,"H343,",2020-08-29,信息审核
515537,东风日产,逍客,2016款 2.0L CVT 精英版,东风日产逍客变速箱阀体损坏不予更换,"B96,B84,",2020-08-29,信息审核
515535,上汽大众,朗逸,2013款 1.6L 自动 舒适版 改款,上汽大众朗逸发动机水泵处漏油要求解决,"A12,",2020-08-29,信息审核
515534,广汽丰田,凯美瑞,2018款 2.5G 自动 豪华版,广汽丰田凯美瑞发动机漏防冻液要求解决,"A37,",2020-08-29,信息审核
515533,东风悦达起亚,起亚K2,2017款 1.4L 自动 GLS 三厢,起亚K2发动机加速异响4S店无法解决,"A9,J298,J301,",2020-08-29,信息审核
515532,一汽丰田,RAV4荣放,2015款 2.0L CVT 两驱都市版,一汽丰田RAV4荣放打方向卡顿有异响,"D59,D123,",2020-08-29,信息审核
515525,一汽-大众,C-TREK蔚领,2018款 1.5L 自动 舒适型,一汽大众蔚领冷车启动发动机有异响,"A9,",2020-08-29,信息审核
515523,长安跨越,跨越者D5,2019款 1.8L PLUS标准型 排半后双轮 标准货箱,长安跨越者D5倒车镜松动变速箱挂挡不顺畅,"B184,D156,H168,H211,",2020-08-29,信息审核
515521,东风日产,骐达TIIDA,2021款 1.6L CVT 智行版,东风日产骐达电瓶亏电要求尽快解决,"H146,H170,",2020-08-29,信息审核
515520,广汽乘用车,传祺GA4,2018款 150N 自动 豪华版,广汽传祺GA4变速箱漏油4S店不给解决,"B22,I295,I294,",2020-08-29,信息审核
515518,东风裕隆,优6 SUV,2016款 1.8T 时尚升级型,纳智捷优6 SUV转向轴再次漏油要求处理,"G51,N317,",2020-08-29,信息审核
515517,华晨宝马,宝马3系,2020款 330Li xDrive M运动曜夜套装,华晨宝马3系新车提车时前杠有剐蹭痕迹,"I295,K307,",2020-08-29,信息审核
515516,北京现代,悦动,2018款 1.6L 自动 悦目版 GL 国V,北京现代悦动发动机无法识别启动信号,"B184,",2020-08-29,信息审核
515508,东风启辰,启辰D60,2019款 1.6L XL CVT 智联精英版 国V,启辰D60底盘零件大面积生锈望厂家解决,"H79,I297,",2020-08-29,信息审核
515507,长城汽车,哈弗H6 Coupe,2016款 1.5T 手动 两驱精英型,哈弗H6 Coupe发动机异响 仪表台开裂,"A9,G56,H79,H176,H72,H90,I297,",2020-08-29,信息审核
515506,一汽-大众,速腾,2015款 280TSI  自动 旗舰型,一汽大众速腾ABS传感器故障导致故障灯亮,"E74,",2020-08-29,信息审核
515505,一汽-大众,速腾,2018款 280TSI DSG熠动版,一汽大众速腾韩泰轮胎有开裂希望厂家处理,"F100,",2020-08-29,信息审核
515503,广汽本田,飞度,2014款 1.5L CVT LX舒适型,广汽本田飞度冷车启动发动机严重异响,"A9,",2020-08-29,信息审核
515499,东风悦达起亚,智跑,2018款 2.0L 手动 时尚版,起亚智跑变速箱无法挂入倒挡4S店无法解决,"B184,I295,J298,",2020-08-29,信息审核
515498,广汽乘用车,传祺GM8,2020款 领航款 390T 尊享版,广汽传祺GM8车门异响4S店多次维修未解决,"H72,J298,",2020-08-29,信息审核
515494,一汽丰田,卡罗拉,2019款 1.2T S-CVT GL-i精英版,一汽丰田卡罗拉仪表转速指针不动查不出原因,"H202,J301,",2020-08-29,信息审核
515493,东风雪铁龙,雪铁龙C4L,2013款 1.6THP 自动 劲智版,东风雪铁龙C4L发动机烧机油望厂家处理,"A63,",2020-08-29,信息审核
515491,广汽本田,飞度,2004款 两厢飞度 1.5 AT CVT,广汽本田飞度转向卡滞变速箱顿挫要求解决,"B19,D123,D156,",2020-08-29,信息审核
515490,上汽大众,途观L,2019款 330TSI 自动 两驱 R-Line旗舰版 国VI,上汽大众途观L天窗和A柱漏水希望厂家解决,"H109,H90,",2020-08-29,信息审核
515488,东风日产,天籁,2016款 2.0L XL 舒适版 改款,东风日产天籁转向机漏油4S店不予质保,"D58,I297,",2020-08-29,信息审核
515486,广汽三菱,欧蓝德,2019款 2.0L 两驱 畅享版 5座 国V,广汽三菱欧蓝德变速箱漏油希望厂家处理,"B22,",2020-08-29,信息审核
515484,上汽大众,途观L新能源,2020款 430PHEV 插电混动旗舰版,上汽大众途观L新能源漆面有伤希望厂家解决,"H81,",2020-08-29,信息审核
515482,东风标致,标致508,2012款 2.0L 自动 智享版,东风标致508车内异味严重希望尽快解决,"H185,",2020-08-29,信息审核
515481,一汽解放,解放J6P,2020款质惠2.0 460马力,一汽解放J6F发动机加速无力油耗高,"A163,A85,",2020-08-29,信息审核
